molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL67555,COc1cc(N)c(Cl)cc1C(=O)NCC12CC3CN(CC3C1)C2,inactive,10000.0
CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,active,110.0
CHEMBL110362,NC1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,active,1000.0
CHEMBL225230,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,active,0.000001
CHEMBL355149,CN1C2CCC1CC(NC(=O)c1cnn3ccccc13)C2,inactive,10000.0
CHEMBL267044,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,active,2E-8
CHEMBL350972,CN1C2CCC1CC(OC(=O)c1cnn3ccccc13)C2,inactive,10000.0
CHEMBL26736,NC1CCc2cc(O)c(O)cc2C1,active,4E-8
CHEMBL225230,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,active,1E-9
CHEMBL267930,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,active,3E-10
CHEMBL1255588,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,active,5E-9
CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,active,0.0003
CHEMBL479587,CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,active,0.00001
CHEMBL59,NCCc1ccc(O)c(O)c1,active,0.000008
CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,active,0.00008
CHEMBL11425,O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2C1,active,67.61
CHEMBL11265,COc1cccc2c1CC1(CCCN1CCCCN1C(=O)CC3(CCCC3)CC1=O)CO2,intermediate,1096.48
CHEMBL417608,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)CC1COc2cccc(OC)c2C1,intermediate,1778.28
CHEMBL416523,COc1cccc2c1CC(CNCCCCN1C(=O)CC3(CCCC3)CC1=O)CO2,active,29.51
CHEMBL11262,CCCN(CCC)CC1COc2cccc(OC)c2C1,intermediate,2570.4
CHEMBL11592,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,active,10.0
CHEMBL116463,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,active,551.0
CHEMBL326263,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,intermediate,2240.0
CHEMBL113956,CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,intermediate,2890.0
CHEMBL115280,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,active,538.0
CHEMBL325750,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3nsnc3c1)CC2,active,123.0
CHEMBL115222,CNC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cc4c(cc3Cl)OCO4)CC2)C1=O,intermediate,2120.0
CHEMBL325516,O=C(OCCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,intermediate,2620.0
CHEMBL114484,Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,active,480.0
CHEMBL326962,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3c(c1)OCO3)CC2,active,557.0
CHEMBL112457,O=C(/C=C/c1ccccc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,inactive,10000.0
CHEMBL115506,C(=C/c1ccccc1)\CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,inactive,10000.0
CHEMBL116233,O=C(/C=C/c1ccccc1)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,intermediate,4700.0
CHEMBL112413,CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,inactive,10000.0
CHEMBL111964,CN(C(=O)C#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,intermediate,4900.0
CHEMBL115934,C(#Cc1ccccc1)CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,inactive,10000.0
CHEMBL111909,C(=C/c1ccccc1)\CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,inactive,10000.0
CHEMBL113282,C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,active,890.0
CHEMBL112170,O=C(C#Cc1ccccc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,intermediate,1500.0
CHEMBL305187,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,active,1000.0
CHEMBL325063,CN(C(=O)/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,intermediate,7100.0
CHEMBL112957,CN(CC#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,intermediate,4100.0
CHEMBL320801,C(=C/c1ccccc1)\CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,inactive,10000.0
CHEMBL113449,O=C(C#Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,intermediate,2500.0
CHEMBL2373204,COc1cccc(C(=O)NCCN2CCN(Cc3ccccc3OC)CC2)c1.Cl.Cl.O,active,1000.0
CHEMBL2373207,COc1cccc(C(=O)NCCN2CCN(Cc3ccc(Cl)cc3)CC2)c1.Cl.Cl.O,active,1000.0
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,active,230.0
CHEMBL359002,COc1ccccc1N1CCN(CCC(=O)NC2CCc3c(cccc3OC)C2)CC1,active,761.0
CHEMBL356358,COc1ccccc1C(=O)NCCN1CCN(c2ccccc2OC)CC1,active,810.0
CHEMBL2373205,COc1cccc(-c2csc(CCN3CCN(c4ccccc4OC)CC3)n2)c1.Cl,active,870.0
CHEMBL144811,COc1ccc(OC)c(C(=O)NCCN2CCN(c3ccccc3OC)CC2)c1,active,250.0
CHEMBL26929,COc1ccccc1N1CCN(CCCC2CCCc3c(OC)cccc32)CC1,active,20.0
CHEMBL2373206,COc1cccc(-c2csc(CN3CCN(c4ccccc4OC)CC3)n2)c1.Cl.Cl.Cl.O,active,1000.0
CHEMBL424125,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3OC)CC1)CCC2,active,150.0
CHEMBL2373210,COc1ccc2c(c1)CC(NC(=O)CCN1CCN(c3ccccc3OC)CC1)CC2.Cl.Cl,active,650.0
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,active,4.1
CHEMBL286725,COc1cccc(C(=O)NCCN2CCN(c3ccccc3OC)CC2)c1,active,700.0
CHEMBL357448,COc1cccc(C(=O)NCCCN2CCN(c3ccccc3OC)CC2)c1,active,1000.0
CHEMBL26677,COc1cccc(C(=O)CCCN2CCN(c3ccccc3OC)CC2)c1,active,13.0
CHEMBL93403,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1,active,1000.0
CHEMBL147483,COc1cccc(C(=O)NCCN2CCN(c3ccccn3)CC2)c1,active,1000.0
CHEMBL134423,Fc1ccc([Si]2(c3ccc(F)cc3)CCC(N3CCN(c4ccccc4)CC3)C2)cc1,active,100.0
CHEMBL134423,Fc1ccc([Si]2(c3ccc(F)cc3)CCC(N3CCN(c4ccccc4)CC3)C2)cc1,active,140.0
CHEMBL35226,CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,intermediate,3400.0
CHEMBL84931,CN(C)CC1CC2c3ccccc3Cc3ccc(F)cc3N2O1,active,36.31
CHEMBL315772,CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,active,8.71
CHEMBL314107,CN(C)CC1CC2c3cc(F)ccc3Cc3ccc(F)cc3N2O1,active,446.68
CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,active,870.96
CHEMBL85735,Cc1ccc2c(c1)N1OC(CN(C)C)CC1c1ccccc1C2,active,54.95
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,intermediate,7079.46
CHEMBL611207,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,active,63.0
CHEMBL611207,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,active,77.0
CHEMBL608530,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,active,837.0
CHEMBL608530,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,intermediate,1173.0
CHEMBL301242,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,active,14.6
CHEMBL59725,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,active,94.7
CHEMBL139926,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,active,118.0
CHEMBL302374,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)cc1,active,55.4
CHEMBL262724,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cnc2ccccc2n1,active,76.7
